epoch,weights
0,-1.06515
1,-1.03058
2,-0.996823
3,-0.963867
4,-0.93169
5,-0.900274
6,-0.8696
7,-0.839652
8,-0.810411
9,-0.781862
10,-0.753988
11,-0.726773
12,-0.700201
13,-0.674257
14,-0.648927
15,-0.624196
16,-0.600049
17,-0.576473
18,-0.553454
19,-0.53098
20,-0.509037
21,-0.487613
22,-0.466695
23,-0.446271
24,-0.426331
25,-0.406862
26,-0.387853
27,-0.369294
28,-0.351173
29,-0.333481
30,-0.316206
31,-0.299341
32,-0.282874
33,-0.266796
34,-0.251098
35,-0.235772
36,-0.220807
37,-0.206197
38,-0.191932
39,-0.178004
40,-0.164405
41,-0.151128
42,-0.138165
43,-0.125508
44,-0.11315
45,-0.101085
46,-0.0893045
47,-0.0778027
48,-0.0665727
49,-0.0556082
50,-0.0449029
51,-0.0344507
52,-0.0242455
53,-0.0142816
54,-0.00455316
55,0.00494528
56,0.0142192
57,0.0232739
58,0.0321145
59,0.0407462
60,0.0491739
61,0.0574023
62,0.0654363
63,0.0732803
64,0.0809389
65,0.0884165
66,0.0957174
67,0.102846
68,0.109805
69,0.116601
70,0.123235
71,0.129713
72,0.136038
73,0.142213
74,0.148242
75,0.154129
76,0.159877
77,0.165489
78,0.170968
79,0.176317
80,0.181541
81,0.18664
82,0.19162
83,0.196481
84,0.201228
85,0.205862
86,0.210387
87,0.214805
88,0.219119
89,0.22333
90,0.227442
91,0.231457
92,0.235377
93,0.239204
94,0.242941
95,0.24659
96,0.250152
97,0.253631
98,0.257027
99,0.260342
100,0.26358
101,0.26674
102,0.269827
103,0.27284
104,0.275782
105,0.278654
106,0.281459
107,0.284197
108,0.286871
109,0.289482
110,0.29203
111,0.294519
112,0.296949
113,0.299321
114,0.301637
115,0.303899
116,0.306107
117,0.308263
118,0.310368
119,0.312423
120,0.31443
121,0.31639
122,0.318303
123,0.32017
124,0.321994
125,0.323775
126,0.325513
127,0.327211
128,0.328868
129,0.330486
130,0.332067
131,0.333609
132,0.335115
133,0.336586
134,0.338022
135,0.339424
136,0.340793
137,0.34213
138,0.343435
139,0.344709
140,0.345953
141,0.347168
142,0.348354
143,0.349512
144,0.350642
145,0.351746
146,0.352824
147,0.353877
148,0.354904
149,0.355908
150,0.356887
151,0.357844
152,0.358778
153,0.359689
154,0.36058
155,0.361449
156,0.362298
157,0.363127
158,0.363936
159,0.364726
160,0.365498
161,0.366251
162,0.366986
163,0.367704
164,0.368406
165,0.36909
166,0.369759
167,0.370411
168,0.371049
169,0.371671
170,0.372278
171,0.372872
172,0.373451
173,0.374017
174,0.374569
175,0.375108
176,0.375634
177,0.376149
178,0.37665
179,0.377141
180,0.377619
181,0.378086
182,0.378543
183,0.378988
184,0.379423
185,0.379848
186,0.380263
187,0.380668
188,0.381063
189,0.381449
190,0.381826
191,0.382194
192,0.382554
193,0.382905
194,0.383247
195,0.383582
196,0.383909
197,0.384228
198,0.384539
199,0.384843
200,0.38514
201,0.38543
202,0.385714
203,0.38599
204,0.38626
205,0.386524
206,0.386781
207,0.387033
208,0.387278
209,0.387518
210,0.387752
211,0.387981
212,0.388204
213,0.388422
214,0.388635
215,0.388842
216,0.389045
217,0.389244
218,0.389437
219,0.389626
220,0.389811
221,0.389991
222,0.390167
223,0.390339
224,0.390506
225,0.39067
226,0.39083
227,0.390987
228,0.391139
229,0.391288
230,0.391434
231,0.391576
232,0.391715
233,0.39185
234,0.391982
235,0.392112
236,0.392238
237,0.392361
238,0.392481
239,0.392599
240,0.392714
241,0.392826
242,0.392935
243,0.393042
244,0.393147
245,0.393249
246,0.393348
247,0.393446
248,0.393541
249,0.393634
250,0.393724
251,0.393813
252,0.393899
253,0.393984
254,0.394066
255,0.394147
256,0.394225
257,0.394302
258,0.394377
259,0.39445
260,0.394522
261,0.394592
262,0.39466
263,0.394727
264,0.394792
265,0.394856
266,0.394918
267,0.394979
268,0.395038
269,0.395096
270,0.395153
271,0.395208
272,0.395262
273,0.395315
274,0.395366
275,0.395417
276,0.395466
277,0.395514
278,0.395561
279,0.395607
280,0.395651
281,0.395695
